Sort,State,FIPS,County,County Seat,Population,Land Area (km2),Land Area (mi2),Water Area (km2),Water Area (mi2),Total Area (km2),Total Area (mi2),Latitude,Longitude
187,CA,6001,Alameda,Oakland,1510271,1914.046,739.017,213.185,82.311,2127.231,821.328,37.648081,-121.913304
188,CA,6003,Alpine,Markleeville,1175,1912.272,738.332,12.557,4.848,1924.829,743.18,38.61761,-119.798999
189,CA,6005,Amador,Jackson,38091,1539.963,594.583,29.457,11.373,1569.42,605.956,38.44355,-120.653856
190,CA,6007,Butte,Oroville,220000,4238.423,1636.464,105.326,40.667,4343.749,1677.131,39.665959,-121.601919
191,CA,6009,Calaveras,San Andreas,45578,2641.82,1020.012,43.81,16.915,2685.63,1036.927,38.187844,-120.555115
192,CA,6011,Colusa,Colusa,21419,2980.379,1150.731,14.581,5.63,2994.96,1156.361,39.177739,-122.237563
193,CA,6013,Contra Costa,Martinez,1049025,1854.269,715.937,227.485,87.833,2081.754,803.77,37.919479,-121.951543
194,CA,6015,Del Norte,Crescent City,28610,2606.494,1006.373,578.526,223.37,3185.02,1229.743,41.749903,-123.980998
195,CA,6017,El Dorado,Placerville,181058,4423.397,1707.883,203.243,78.473,4626.64,1786.356,38.785532,-120.534398
196,CA,6019,Fresno,Fresno,930450,15431.126,5957.991,137.816,53.211,15568.942,6011.202,36.761006,-119.655019
197,CA,6021,Glenn,Willows,28122,3403.107,1313.947,33.75,13.031,3436.857,1326.978,39.602546,-122.4017
198,CA,6023,Humboldt,Eureka,134623,9241.045,3567.987,1254.256,484.271,10495.301,4052.258,40.706673,-123.925818
199,CA,6025,Imperial,El Centro,174528,10817.353,4176.603,790.248,305.116,11607.6,4481.719,33.040816,-115.355395
200,CA,6027,Inyo,Independence,18546,26368.354,10180.879,119.208,46.026,26487.562,10226.905,36.561977,-117.403927
201,CA,6029,Kern,Bakersfield,839631,21061.565,8131.916,79.577,30.725,21141.142,8162.641,35.346629,-118.729506
202,CA,6031,Kings,Hanford,152982,3598.582,1389.42,5.469,2.111,3604.051,1391.531,36.072478,-119.81553
203,CA,6033,Lake,Lakeport,64665,3254.228,1256.464,188.962,72.959,3443.19,1329.423,39.094802,-122.746757
204,CA,6035,Lassen,Susanville,34895,11761.612,4541.184,463.441,178.935,12225.053,4720.119,40.721089,-120.629931
205,CA,6037,Los Angeles,Los Angeles,9818605,10509.87,4057.884,1795.013,693.058,12304.883,4750.942,34.196398,-118.261862
206,CA,6039,Madera,Madera,150865,5534.983,2137.069,41.958,16.2,5576.94,2153.269,37.210039,-119.749852
207,CA,6041,Marin,San Rafael,252409,1347.586,520.306,797.42,307.886,2145.006,828.192,38.051817,-122.745974
208,CA,6043,Mariposa,Mariposa,18251,3752.417,1448.816,36.271,14.004,3788.688,1462.82,37.570034,-119.91286
209,CA,6045,Mendocino,Ukiah,87841,9081.386,3506.343,962.953,371.798,10044.339,3878.141,39.432388,-123.442881
210,CA,6047,Merced,Merced,255793,5011.555,1934.972,112.76,43.537,5124.315,1978.509,37.194806,-120.722802
211,CA,6049,Modoc,Alturas,9686,10146.977,3917.77,739.774,285.629,10886.752,4203.399,41.592919,-120.71837
212,CA,6051,Mono,Bridgeport,14202,7896.827,3048.982,214.695,82.894,8111.523,3131.876,37.915836,-118.875167
213,CA,6053,Monterey,Salinas,415057,8496.703,3280.595,1270.714,490.626,9767.417,3771.221,36.240107,-121.315573
214,CA,6055,Napa,Napa,136484,1938.247,748.362,104.169,40.22,2042.417,788.582,38.507351,-122.325995
