,county,restaurant,id,lat,lng,city,category name,category plural name,category short name,price,rating
0,Alameda,Peet's Coffee & Tea,49c0397bf964a52055551fe3,37.841617,-122.293626,Emeryville,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.9
1,Alameda,Drake's Dealership,55a6eee8498e39b5dd60f45a,37.8128252267716,-122.26674184918737,Oakland,Beer Garden,Beer Gardens,Beer Garden,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.4
2,Alameda,Nyum Bai,5a8b2bf691eaca3c3cb196cc,37.77618320102944,-122.22431526439176,Oakland,Cambodian Restaurant,Cambodian Restaurants,Cambodian,,8.9
3,Alameda,Shan Dong,4a22d464f964a520927d1fe3,37.80050024323571,-122.27004558577991,Oakland,Chinese Restaurant,Chinese Restaurants,Chinese,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.0
4,Alameda,Xolo,4d8982c1b799a35d13059863,37.808422,-122.26973,Oakland,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.5
5,Alameda,Blue Bottle Coffee,517aba92498ea18ae773f544,37.83113,-122.254186,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",9.0
6,Alameda,La Christa's Cafe,541647bb498e05d0b8de232a,37.814602835818484,-122.26852632585704,Oakland,Southern / Soul Food Restaurant,Southern / Soul Food Restaurants,Southern / Soul,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
7,Alameda,The Trappist,4792385cf964a520524d1fe3,37.800497559962956,-122.27420032024384,Oakland,Beer Bar,Beer Bars,Beer Bar,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.2
8,Alameda,Arthur Mac's Tap & Snack,58c978cc5eef1170c1c210ba,37.82979364966446,-122.26819187474287,Oakland,Beer Garden,Beer Gardens,Beer Garden,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",9.0
9,Alameda,Tierra Mia Coffee,52df0e4011d219aa8d0d0e11,37.80916405386587,-122.26823870068337,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.7
10,Alameda,McDonald's,4b37d9caf964a520704725e3,37.8335255,-122.2629628,Oakland,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.8
11,Alameda,The Lake Chalet Seafood Bar & Grill,4ae27f53f964a520af8e21e3,37.80222845991472,-122.26162756511117,Oakland,Seafood Restaurant,Seafood Restaurants,Seafood,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",7.8
12,Alameda,Farley's East,4a5f41d5f964a52052bf1fe3,37.81140954675457,-122.2660780177822,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.9
13,Alameda,IKEA Restaurant & Cafe,4fac1967e4b0077c44e78fc5,37.83115600662363,-122.29240212016042,Emeryville,Scandinavian Restaurant,Scandinavian Restaurants,Scandinavian,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.0
14,Alameda,In-N-Out Burger,5516cea6498ea63bf9695e68,37.78381641897224,-122.27714538574219,Alameda,Burger Joint,Burger Joints,Burgers,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",9.1
15,Alameda,Arizmendi Bakery,46aa908cf964a52063491fe3,37.81066647714583,-122.24481041159486,Oakland,Bakery,Bakeries,Bakery,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.4
16,Alameda,Cholita Linda,52fd936b498e9c816a9e42e0,37.83617413695148,-122.26278223600943,Oakland,Latin American Restaurant,Latin American Restaurants,Latin American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.5
17,Alameda,Starbucks inside Safeway,5837303e424f937971aa57ba,37.785651501841315,-122.28083690789113,Alameda,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
18,Alameda,Ramen Shop,50d675d1e4b047bb04184422,37.846331278077486,-122.2519192995559,Oakland,Ramen Restaurant,Ramen Restaurants,Ramen,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.8
19,Alameda,Belcampo,5b36e60afd16bb002c98d6b2,37.794059563187616,-122.27494630825116,Oakland,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.3
20,Alameda,Farmhouse Kitchen,5b5779006dcf04002cf4c679,37.7940883491769,-122.27542072604021,Oakland,Thai Restaurant,Thai Restaurants,Thai,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.3
21,Alameda,Dyafa,5acf77430457b720f25edff3,37.79364247174332,-122.27444707712422,Oakland,Middle Eastern Restaurant,Middle Eastern Restaurants,Middle Eastern,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.5
22,Alameda,Blind Tiger,56d64679498e3ed8bc19624b,37.81584825769534,-122.26768968277607,Oakland,Asian Restaurant,Asian Restaurants,Asian,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",8.9
23,Alameda,Gogi Time,51e748ab7dd2b94b6f5762db,37.81563744613821,-122.26792576686564,Oakland,Korean Restaurant,Korean Restaurants,Korean,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.1
24,Alameda,Lungomare,5111d971e4b030dc42b2e7c8,37.79477651594031,-122.27740827691646,Oakland,Italian Restaurant,Italian Restaurants,Italian,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.6
25,Alameda,Angel Cakes,56f704f9498ee4cd037619b6,37.80076132189942,-122.28208977585737,Oakland,Bakery,Bakeries,Bakery,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
26,Alameda,Mua Oakland Bar & Restaurant,4a18358cf964a5208e791fe3,37.81410757834559,-122.26433198353656,Oakland,American Restaurant,American Restaurants,American,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.0
27,Alameda,Telegraph Bar and Beer Garden,50709df7e4b0c9f5cfd97f4a,37.81285542879667,-122.26856564669941,Oakland,Beer Garden,Beer Gardens,Beer Garden,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.0
28,Alameda,Donut Savant,4fac1f72e4b054e6d929c5ba,37.80830943995559,-122.26861057572039,Oakland,Donut Shop,Donut Shops,Donuts,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.7
29,Alameda,Bicycle Coffee Co.,528fd62711d29c24ebb52051,37.79543378073442,-122.27430314199263,Oakland,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.8
30,Alameda,Marufuku Ramen,5a97715c037be11099fd3834,37.83510638627532,-122.26276888233988,Oakland,Ramen Restaurant,Ramen Restaurants,Ramen,,8.3
31,Alameda,Chow Oakland,5a851035e2d4aa547736d59c,37.823650505611155,-122.25594978886163,Oakland,Restaurant,Restaurants,Restaurant,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.0
