county,population,populationdensity,Per capita income,Median household income,Median family income,Registered voters,Democratic,Republican,D-R spread,Other,No party preference,FIPS,County Seat,Land Area (km2),Land Area (mi2),Water Area (km2),Water Area (mi2),Total Area (km2),Total Area (mi2),centroid_latitude,centroid_longitude
Alameda,1559308,2109.8,36439,73775,90822,54.6,56.4,14.1,42.3,12.1,19.5,6001,Oakland,1914.046,739.017,213.185,82.311,2127.231,821.328,37.648081,-121.913304
Alpine,1202,1.6,24375,61343,71932,66.1,37.6,30.5,7.1,10.8,25,6003,Markleeville,1912.272,738.332,12.557,4.848,1924.829,743.18,38.61761,-119.798999
Amador,37159,62.5,27373,52964,68765,56.1,31.7,45,-13.3,10.3,17.2,6005,Jackson,1539.963,594.583,29.457,11.373,1569.42,605.956,38.44355,-120.653856
Butte,221578,135.4,24430,43165,56934,55.4,34.4,37.1,-2.7,10.4,21.5,6007,Oroville,4238.423,1636.464,105.326,40.667,4343.749,1677.131,39.665959,-121.601919
Calaveras,44921,44,29296,54936,67100,62.8,30.7,42.5,-11.8,12.3,19,6009,San Andreas,2641.82,1020.012,43.81,16.915,2685.63,1036.927,38.187844,-120.555115
Colusa,21424,18.6,22211,50503,56472,36,34.4,45.3,-10.9,5.3,17.3,6011,Colusa,2980.379,1150.731,14.581,5.63,2994.96,1156.361,39.177739,-122.237563
Contra Costa,1081232,1496,38770,79799,95087,51.1,49.6,24.8,24.8,6.7,21.4,6013,Martinez,1854.269,715.937,227.485,87.833,2081.754,803.77,37.919479,-121.951543
Del Norte,28066,27.9,19424,39302,52452,42.9,34.7,37.5,-2.8,12,20.1,6015,Crescent City,2606.494,1006.373,578.526,223.37,3185.02,1229.743,41.749903,-123.980998
El Dorado,181465,106.3,35128,68507,84690,61.3,29.2,43.9,-14.7,10.4,20.3,6017,Placerville,4423.397,1707.883,203.243,78.473,4626.64,1786.356,38.785532,-120.534398
Fresno,948844,159.2,20231,45201,50046,45.1,40.2,38.2,2,7.5,16.8,6019,Fresno,15431.126,5957.991,137.816,53.211,15568.942,6011.202,36.761006,-119.655019
Glenn,28019,21.3,21698,40106,51940,43.8,30.7,45.1,-14.4,9.1,18.9,6021,Willows,3403.107,1313.947,33.75,13.031,3436.857,1326.978,39.602546,-122.4017
Humboldt,134876,37.8,23516,42153,53532,59.7,41.6,25.4,16.2,11.9,24.3,6023,Eureka,9241.045,3567.987,1254.256,484.271,10495.301,4052.258,40.706673,-123.925818
Imperial,177026,42.4,16409,41772,46555,35.4,50.4,23.7,26.7,6.2,21.9,6025,El Centro,10817.353,4176.603,790.248,305.116,11607.6,4481.719,33.040816,-115.355395
Inyo,18439,1.8,27028,45625,69041,53.8,30.9,43,-12.1,10.8,19.4,6027,Independence,26368.354,10180.879,119.208,46.026,26487.562,10226.905,36.561977,-117.403927
Kern,857730,105.5,20467,48574,52541,40.1,35.6,41.1,-5.5,7.8,18.8,6029,Bakersfield,21061.565,8131.916,79.577,30.725,21141.142,8162.641,35.346629,-118.729506
Kings,151390,109,18518,47341,50202,31.8,35.8,45.2,-9.4,6.2,15.4,6031,Hanford,3598.582,1389.42,5.469,2.111,3604.051,1391.531,36.072478,-119.81553
Lake,64209,51.1,21310,35997,47773,54.6,40.7,27.5,13.2,10.8,25,6033,Lakeport,3254.228,1256.464,188.962,72.959,3443.19,1329.423,39.094802,-122.746757
Lassen,33356,7.3,19847,53351,66717,39.8,24.4,48,-23.6,12.2,20.6,6035,Susanville,11761.612,4541.184,463.441,178.935,12225.053,4720.119,40.721089,-120.629931
Los Angeles,9974203,2457.9,27987,55870,62289,49.7,51.1,21.6,29.5,11.4,18.1,6037,Los Angeles,10509.87,4057.884,1795.013,693.058,12304.883,4750.942,34.196398,-118.261862
Madera,152452,71.3,17797,45490,49964,35.9,33.9,44.4,-10.5,7.5,17.3,6039,Madera,5534.983,2137.069,41.958,16.2,5576.94,2153.269,37.210039,-119.749852
Marin,256802,493.4,58004,91529,120030,61.5,54.4,18.2,36.2,6.7,22.9,6041,San Rafael,1347.586,520.306,797.42,307.886,2145.006,828.192,38.051817,-122.745974
Mariposa,17946,12.4,28327,50560,63520,58,29.7,44.8,-15.1,12.3,17.5,6043,Mariposa,3752.417,1448.816,36.271,14.004,3788.688,1462.82,37.570034,-119.91286
Mendocino,87612,25,23712,43290,53996,56,46.4,21.7,24.7,12.5,22.8,6045,Ukiah,9081.386,3506.343,962.953,371.798,10044.339,3878.141,39.432388,-123.442881
Merced,261609,135.2,18464,43066,47729,39,44.5,33.1,11.4,7.7,17.8,6047,Merced,5011.555,1934.972,112.76,43.537,5124.315,1978.509,37.194806,-120.722802
Modoc,9335,2.4,21830,38560,46536,55,25.9,50,-24.1,11.5,17.7,6049,Alturas,10146.977,3917.77,739.774,285.629,10886.752,4203.399,41.592919,-120.71837
Mono,14193,4.7,29578,61814,73494,42.8,32.8,36.1,-3.3,10.4,24.8,6051,Bridgeport,7896.827,3048.982,214.695,82.894,8111.523,3131.876,37.915836,-118.875167
Monterey,424927,129.5,25048,58582,62370,40.9,51.7,24.2,27.5,6.2,20.2,6053,Salinas,8496.703,3280.595,1270.714,490.626,9767.417,3771.221,36.240107,-121.315573
Napa,139253,186.1,35092,70925,81275,52.8,46.4,26.8,19.6,8.5,21.3,6055,Napa,1938.247,748.362,104.169,40.22,2042.417,788.582,38.507351,-122.325995
Nevada,98606,103,32117,56949,69649,62.6,33,37.9,-4.9,10.9,21.8,6057,Nevada City,2480.617,957.772,41.515,16.029,2522.132,973.801,39.295191,-120.773446
Orange,3086331,3903.6,34416,75998,85472,46.7,31.7,41.8,-10.1,7,22.1,6059,Santa Ana,2047.561,790.568,407.917,157.498,2455.478,948.066,33.675687,-117.777207
Placer,361518,256.9,35711,73747,88615,60.6,28,47,-19,6.5,20.7,6061,Auburn,3644.136,1407.009,247.205,95.447,3891.341,1502.456,39.062032,-120.722718
Plumas,19286,7.6,29167,48032,60709,64.4,31.3,42.5,-11.2,11.7,19.5,6063,Quincy,6612.351,2553.043,156.395,60.385,6768.746,2613.428,39.99517,-120.829516
Riverside,2266899,314.6,23660,56592,63523,43.3,36.5,40.4,-3.9,7.8,18.2,6065,Riverside,18664.697,7206.48,251.073,96.94,18915.77,7303.42,33.729828,-116.002239
