,County,Population,Registered voters,Democratic,Republican,D–R spread,Other,No party preference
0,Alameda,1494876.0,54.6,56.4,14.1,42.3,12.1,19.5
1,Alpine,1167.0,66.1,37.6,30.5,7.1,10.8,25.0
2,Amador,38244.0,56.1,31.7,45.0,-13.3,10.3,17.2
3,Butte,219309.0,55.4,34.4,37.1,-2.7,10.4,21.5
4,Calaveras,45794.0,62.8,30.7,42.5,-11.8,12.3,19.0
5,Colusa,21297.0,36.0,34.4,45.3,-10.9,5.3,17.3
6,Contra Costa,1037817.0,51.1,49.6,24.8,24.8,6.7,21.4
7,Del Norte,28561.0,42.9,34.7,37.5,-2.8,12.0,20.1
8,El Dorado,179878.0,61.3,29.2,43.9,-14.7,10.4,20.3
9,Fresno,920623.0,45.1,40.2,38.2,2.0,7.5,16.8
10,Glenn,28027.0,43.8,30.7,45.1,-14.4,9.1,18.9
11,Humboldt,133585.0,59.7,41.6,25.4,16.2,11.9,24.3
12,Imperial,171343.0,35.4,50.4,23.7,26.7,6.2,21.9
13,Inyo,18457.0,53.8,30.9,43.0,-12.1,10.8,19.4
14,Kern,829254.0,40.1,35.6,41.1,-5.5,7.8,18.8
15,Kings,152335.0,31.8,35.8,45.2,-9.4,6.2,15.4
16,Lake,64392.0,54.6,40.7,27.5,13.2,10.8,25.0
17,Lassen,35001.0,39.8,24.4,48.0,-23.6,12.2,20.6
18,Los Angeles,9787747.0,49.7,51.1,21.6,29.5,11.4,18.1
19,Madera,149611.0,35.9,33.9,44.4,-10.5,7.5,17.3
20,Marin,250666.0,61.5,54.4,18.2,36.2,6.7,22.9
21,Mariposa,18290.0,58.0,29.7,44.8,-15.1,12.3,17.5
22,Mendocino,87525.0,56.0,46.4,21.7,24.7,12.5,22.8
23,Merced,253606.0,39.0,44.5,33.1,11.4,7.7,17.8
24,Modoc,9587.0,55.0,25.9,50.0,-24.1,11.5,17.7
25,Mono,14016.0,42.8,32.8,36.1,-3.3,10.4,24.8
26,Monterey,411385.0,40.9,51.7,24.2,27.5,6.2,20.2
27,Napa,135377.0,52.8,46.4,26.8,19.6,8.5,21.3
28,Nevada,98392.0,62.6,33.0,37.9,-4.9,10.9,21.8
29,Orange,2989948.0,46.7,31.7,41.8,-10.1,7.0,22.1
30,Placer,343554.0,60.6,28.0,47.0,-19.0,6.5,20.7
31,Plumas,20192.0,64.4,31.3,42.5,-11.2,11.7,19.5
32,Riverside,2154844.0,43.3,36.5,40.4,-3.9,7.8,18.2
33,Sacramento,1408480.0,49.5,43.9,31.9,12.0,7.5,19.6
34,San Benito,54873.0,48.6,47.4,29.4,18.0,6.6,19.2
35,San Bernardino,2023452.0,43.0,39.1,35.4,3.7,8.7,20.4
36,San Diego,3060849.0,51.5,35.3,33.9,1.4,8.5,25.6
37,San Francisco,797983.0,62.4,55.6,8.6,47.0,6.4,31.1
38,San Joaquin,680277.0,43.2,43.7,36.4,7.3,6.6,15.8
39,San Luis Obispo,267871.0,58.4,33.8,39.4,-5.6,8.6,20.9
40,San Mateo,711622.0,50.7,51.3,19.4,31.9,5.9,25.5
41,Santa Barbara,419793.0,47.1,41.4,30.8,10.6,7.8,22.6
42,Santa Clara,1762754.0,46.4,45.6,21.7,23.9,5.7,29.0
43,Santa Cruz,259402.0,61.0,54.2,16.5,37.7,8.8,22.8
44,Shasta,177231.0,55.3,26.5,46.7,-20.2,9.3,21.2
45,Sierra,3277.0,67.8,28.4,42.2,-13.8,15.8,19.2
46,Siskiyou,44687.0,57.2,32.3,40.9,-8.6,11.2,20.1
47,Solano,411620.0,51.1,48.6,25.0,23.6,7.3,22.0
48,Sonoma,478551.0,54.7,51.5,21.6,29.9,8.2,21.3
49,Stanislaus,512469.0,45.2,40.0,38.8,1.2,7.7,16.2
50,Sutter,94192.0,44.3,32.5,44.5,-12.0,8.8,17.5
51,Tehama,62985.0,48.4,30.1,44.4,-14.3,11.7,18.8
52,Trinity,13711.0,57.2,33.5,34.3,-0.8,14.1,22.9
53,Tulare,436234.0,33.2,34.0,43.7,-9.7,8.0,17.7
54,Tuolumne,55736.0,57.6,32.1,42.1,-10.0,10.2,19.6
55,Ventura,815745.0,52.9,38.6,36.0,2.6,7.8,20.1
56,Yolo,198889.0,51.2,47.2,23.9,23.3,8.0,23.6
57,Yuba,71817.0,40.4,31.5,39.3,-7.8,11.0,22.9
